# mpfr-elementary-v1 mpfr=4.2.2 cases-per-cell=4 seed=20260715
# operation precision rounding left right integer expected inexact invalid division_by_zero
exp 24 n 0xf4c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xb73023p-18 1 0 0
exp 24 n -0xcc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xd009c9p-26 1 0 0
exp 24 n 0xf3400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xb2f1cap-18 1 0 0
exp 24 n -0xf5400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xb17bfap-29 1 0 0
exp 24 na -0xd3c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x95c7dep-28 1 0 0
exp 24 na -0xe3800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xad2510p-26 1 0 0
exp 24 na 0xd7000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xe62b6dp-19 1 0 0
exp 24 na -0xab000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x869c59p-25 1 0 0
exp 24 z 0xfe800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xe9b1f0p-21 1 0 0
exp 24 z 0xc0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x877cedp-22 1 0 0
exp 24 z -0xac400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x8ad326p-27 1 0 0
exp 24 z -0xf8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-515 - 0 0xe2cdadp-24 1 0 0
exp 24 u -0xda000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0xda7eaap-25 1 0 0
exp 24 u 0xa2c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xcb7a59p-20 1 0 0
exp 24 u -0xb5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0xfc7862p-25 1 0 0
exp 24 u 0xb6400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x89fa7fp-19 1 0 0
exp 24 d 0xb0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-514 - 0 0x9800f6p-23 1 0 0
exp 24 d 0xb1800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x801bd3p-19 1 0 0
exp 24 d -0xd5c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x912c26p-28 1 0 0
exp 24 d 0x81800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xf20e9ap-21 1 0 0
exp 24 a 0xf8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xde1fc1p-21 1 0 0
exp 24 a 0xe6800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x929f32p-18 1 0 0
exp 24 a 0xa0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-515 - 0 0x8a66a8p-23 1 0 0
exp 24 a -0xd5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xc1e9b7p-26 1 0 0
exp 53 n 0x84000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-513 - 0 0x14b49e2ae5ac67p-52 1 0 0
exp 53 n 0xcd000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x13d7d61469b374p-50 1 0 0
exp 53 n -0xba000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1dee6aac84fc87p-55 1 0 0
exp 53 n 0xc3800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1536ed129d4ef7p-48 1 0 0
exp 53 na -0xba000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x1ef2c8e2c552b8p-54 1 0 0
exp 53 na 0xaf000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1eccdbeb7be314p-49 1 0 0
exp 53 na 0x9d800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1b61f696ef2755p-51 1 0 0
exp 53 na 0xe2400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x112672a5773005p-47 1 0 0
exp 53 z -0x92800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x146039a6d0e236p-54 1 0 0
exp 53 z -0x92000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1a26ec83a72ae3p-56 1 0 0
exp 53 z 0xe9800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x18cab3a941f5aep-50 1 0 0
exp 53 z 0xf3400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x165e3935ff5d0ap-47 1 0 0
exp 53 u -0xea000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1a72f7a732346ep-58 1 0 0
exp 53 u 0x8d000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x121b44ff38968fp-49 1 0 0
exp 53 u 0xeb000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x191583c44a3c1ep-50 1 0 0
exp 53 u 0xf1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x14823849e64354p-51 1 0 0
exp 53 d 0xf0400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x15580028587261p-47 1 0 0
exp 53 d 0xc8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x16c2887c1f1691p-48 1 0 0
exp 53 d 0xcd000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x189bfc0510050ep-48 1 0 0
exp 53 d 0xad000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1ee85c63c18222p-51 1 0 0
exp 53 a 0xfb000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x193f5d485ebed4p-47 1 0 0
exp 53 a -0x98800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x17a05c14c4d095p-56 1 0 0
exp 53 a -0x80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-514 - 0 0x1c3d6a24ed8222p-53 1 0 0
exp 53 a -0x99800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x174296ac49c806p-56 1 0 0
exp 113 n 0xfa000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x18db28c1e570ca73cc164eedfe479p-107 1 0 0
exp 113 n 0x9e800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1b98f16c9f1a3f17c797fd73c8dfap-111 1 0 0
exp 113 n 0xff800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1b162d82975e64e47f4e3861b0f0ap-107 1 0 0
exp 113 n 0x80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-509 - 0 0x1b4c902e273a58678d6d3bfdb93dcp-107 1 0 0
exp 113 na 0x93000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x1c6971299fdb5243379d4e63c269cp-112 1 0 0
exp 113 na -0xe5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1c99294edff1843b110d303e9886cp-118 1 0 0
exp 113 na 0xf9000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x1528e1371398923a51c9d5b1ef660p-111 1 0 0
exp 113 na -0xd5c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x122584cb5d11fd5b3071f500f69abp-117 1 0 0
exp 113 z 0xad000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1ee85c63c1822211e9c2c3d92cf10p-111 1 0 0
exp 113 z 0xab400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1d0c215d0aa43fb6dad0862fb3754p-109 1 0 0
exp 113 z 0x8fc00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x12e6c84424f6fb30fbe610fafe5d0p-109 1 0 0
exp 113 z 0xf6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x14e9c56c731f5d28de9f0af7015eap-111 1 0 0
exp 113 u 0xfc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-514 - 0 0x1476dd2045ac678d2bef4d46281f8p-112 1 0 0
