# precision rounding input_coefficient_hex input_exponent2 input_negative exponent expected_coefficient_hex expected_exponent2 expected_negative inexact
11 n 3 -1 0 3 6c0 -9 0 0
11 n 5 -2 1 7 4c5 -8 1 1
11 n 7ff -10 0 -3 402 -13 0 1
11 n 1000000000000001 -52 0 11 400 78 0 1
11 n 1fffffffffffff -52 1 15 400 5 1 1
11 n 10000000000000000000000000001 -112 0 -7 400 -10 0 1
11 z 3 -1 0 3 6c0 -9 0 0
11 z 5 -2 1 7 4c4 -8 1 1
11 z 7ff -10 0 -3 401 -13 0 1
11 z 1000000000000001 -52 0 11 400 78 0 1
11 z 1fffffffffffff -52 1 15 7ff 4 1 1
11 z 10000000000000000000000000001 -112 0 -7 7ff -11 0 1
11 u 3 -1 0 3 6c0 -9 0 0
11 u 5 -2 1 7 4c4 -8 1 1
11 u 7ff -10 0 -3 402 -13 0 1
11 u 1000000000000001 -52 0 11 401 78 0 1
11 u 1fffffffffffff -52 1 15 7ff 4 1 1
11 u 10000000000000000000000000001 -112 0 -7 400 -10 0 1
11 d 3 -1 0 3 6c0 -9 0 0
11 d 5 -2 1 7 4c5 -8 1 1
11 d 7ff -10 0 -3 401 -13 0 1
11 d 1000000000000001 -52 0 11 400 78 0 1
11 d 1fffffffffffff -52 1 15 400 5 1 1
11 d 10000000000000000000000000001 -112 0 -7 7ff -11 0 1
11 a 3 -1 0 3 6c0 -9 0 0
11 a 5 -2 1 7 4c5 -8 1 1
11 a 7ff -10 0 -3 402 -13 0 1
11 a 1000000000000001 -52 0 11 401 78 0 1
11 a 1fffffffffffff -52 1 15 400 5 1 1
11 a 10000000000000000000000000001 -112 0 -7 400 -10 0 1
24 n 3 -1 0 3 d80000 -22 0 0
24 n 5 -2 1 7 989680 -21 1 0
24 n 7ff -10 0 -3 80300c -26 0 1
24 n 1000000000000001 -52 0 11 800000 65 0 1
24 n 1fffffffffffff -52 1 15 800000 -8 1 1
24 n 10000000000000000000000000001 -112 0 -7 800000 -23 0 1
24 z 3 -1 0 3 d80000 -22 0 0
24 z 5 -2 1 7 989680 -21 1 0
24 z 7ff -10 0 -3 80300c -26 0 1
24 z 1000000000000001 -52 0 11 800000 65 0 1
24 z 1fffffffffffff -52 1 15 ffffff -9 1 1
24 z 10000000000000000000000000001 -112 0 -7 ffffff -24 0 1
24 u 3 -1 0 3 d80000 -22 0 0
24 u 5 -2 1 7 989680 -21 1 0
24 u 7ff -10 0 -3 80300d -26 0 1
24 u 1000000000000001 -52 0 11 800001 65 0 1
24 u 1fffffffffffff -52 1 15 ffffff -9 1 1
24 u 10000000000000000000000000001 -112 0 -7 800000 -23 0 1
24 d 3 -1 0 3 d80000 -22 0 0
24 d 5 -2 1 7 989680 -21 1 0
24 d 7ff -10 0 -3 80300c -26 0 1
24 d 1000000000000001 -52 0 11 800000 65 0 1
24 d 1fffffffffffff -52 1 15 800000 -8 1 1
24 d 10000000000000000000000000001 -112 0 -7 ffffff -24 0 1
24 a 3 -1 0 3 d80000 -22 0 0
24 a 5 -2 1 7 989680 -21 1 0
24 a 7ff -10 0 -3 80300d -26 0 1
24 a 1000000000000001 -52 0 11 800001 65 0 1
24 a 1fffffffffffff -52 1 15 800000 -8 1 1
24 a 10000000000000000000000000001 -112 0 -7 800000 -23 0 1
53 n 3 -1 0 3 1b000000000000 -51 0 0
53 n 5 -2 1 7 1312d000000000 -50 1 0
53 n 7ff -10 0 -3 10060180500f03 -55 0 1
53 n 1000000000000001 -52 0 11 10000000000000 36 0 1
53 n 1fffffffffffff -52 1 15 1ffffffffffff1 -38 1 1
53 n 10000000000000000000000000001 -112 0 -7 10000000000000 -52 0 1
53 z 3 -1 0 3 1b000000000000 -51 0 0
53 z 5 -2 1 7 1312d000000000 -50 1 0
53 z 7ff -10 0 -3 10060180500f02 -55 0 1
53 z 1000000000000001 -52 0 11 10000000000000 36 0 1
53 z 1fffffffffffff -52 1 15 1ffffffffffff1 -38 1 1
53 z 10000000000000000000000000001 -112 0 -7 1fffffffffffff -53 0 1
53 u 3 -1 0 3 1b000000000000 -51 0 0
53 u 5 -2 1 7 1312d000000000 -50 1 0
53 u 7ff -10 0 -3 10060180500f03 -55 0 1
53 u 1000000000000001 -52 0 11 10000000000001 36 0 1
53 u 1fffffffffffff -52 1 15 1ffffffffffff1 -38 1 1
53 u 10000000000000000000000000001 -112 0 -7 10000000000000 -52 0 1
53 d 3 -1 0 3 1b000000000000 -51 0 0
53 d 5 -2 1 7 1312d000000000 -50 1 0
53 d 7ff -10 0 -3 10060180500f02 -55 0 1
53 d 1000000000000001 -52 0 11 10000000000000 36 0 1
53 d 1fffffffffffff -52 1 15 1ffffffffffff2 -38 1 1
53 d 10000000000000000000000000001 -112 0 -7 1fffffffffffff -53 0 1
53 a 3 -1 0 3 1b000000000000 -51 0 0
53 a 5 -2 1 7 1312d000000000 -50 1 0
53 a 7ff -10 0 -3 10060180500f03 -55 0 1
53 a 1000000000000001 -52 0 11 10000000000001 36 0 1
53 a 1fffffffffffff -52 1 15 1ffffffffffff2 -38 1 1
53 a 10000000000000000000000000001 -112 0 -7 10000000000000 -52 0 1
113 n 3 -1 0 3 1b000000000000000000000000000 -111 0 0
113 n 5 -2 1 7 1312d000000000000000000000000 -110 1 0
113 n 7ff -10 0 -3 10060180500f02a0701202d06e108 -115 0 1
113 n 1000000000000001 -52 0 11 100000000000000b0000000000000 -24 0 1
113 n 1fffffffffffff -52 1 15 1ffffffffffff1000000000003480 -98 1 1
113 n 10000000000000000000000000001 -112 0 -7 1fffffffffffffffffffffffffff2 -113 0 1
113 z 3 -1 0 3 1b000000000000000000000000000 -111 0 0
113 z 5 -2 1 7 1312d000000000000000000000000 -110 1 0
113 z 7ff -10 0 -3 10060180500f02a0701202d06e108 -115 0 1
113 z 1000000000000001 -52 0 11 100000000000000b0000000000000 -24 0 1
113 z 1fffffffffffff -52 1 15 1ffffffffffff100000000000347f -98 1 1
113 z 10000000000000000000000000001 -112 0 -7 1fffffffffffffffffffffffffff2 -113 0 1
113 u 3 -1 0 3 1b000000000000000000000000000 -111 0 0
113 u 5 -2 1 7 1312d000000000000000000000000 -110 1 0
113 u 7ff -10 0 -3 10060180500f02a0701202d06e109 -115 0 1
113 u 1000000000000001 -52 0 11 100000000000000b0000000000001 -24 0 1
113 u 1fffffffffffff -52 1 15 1ffffffffffff100000000000347f -98 1 1
113 u 10000000000000000000000000001 -112 0 -7 1fffffffffffffffffffffffffff3 -113 0 1
113 d 3 -1 0 3 1b000000000000000000000000000 -111 0 0
113 d 5 -2 1 7 1312d000000000000000000000000 -110 1 0
113 d 7ff -10 0 -3 10060180500f02a0701202d06e108 -115 0 1
113 d 1000000000000001 -52 0 11 100000000000000b0000000000000 -24 0 1
113 d 1fffffffffffff -52 1 15 1ffffffffffff1000000000003480 -98 1 1
113 d 10000000000000000000000000001 -112 0 -7 1fffffffffffffffffffffffffff2 -113 0 1
113 a 3 -1 0 3 1b000000000000000000000000000 -111 0 0
113 a 5 -2 1 7 1312d000000000000000000000000 -110 1 0
113 a 7ff -10 0 -3 10060180500f02a0701202d06e109 -115 0 1
113 a 1000000000000001 -52 0 11 100000000000000b0000000000001 -24 0 1
113 a 1fffffffffffff -52 1 15 1ffffffffffff1000000000003480 -98 1 1
113 a 10000000000000000000000000001 -112 0 -7 1fffffffffffffffffffffffffff3 -113 0 1

