# mpfr-decimal-interval-v1 mpfr=4.2.2 work-precision=768 seed=20260715
# operation left right integer lower upper exact
exp 0xf4c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xb73022ba35ffc1279a33df8f1fc0cedcc91e71eef35c422129ec85bc40145fca1e9991f92c5a226360e922fad84e69e38ca5cdebddce73d8e391cc2769038157339aa866aeb4a3d4056c84d97998f7caeb08383850f8a43f2db1a3d6214f93b9p-762 0xb73022ba35ffc1279a33df8f1fc0cedcc91e71eef35c422129ec85bc40145fca1e9991f92c5a226360e922fad84e69e38ca5cdebddce73d8e391cc2769038157339aa866aeb4a3d4056c84d97998f7caeb08383850f8a43f2db1a3d6214f93bap-762 0
exp -0xcc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xd009c8affd28b04245d6b574e6c17cbeed4dba2d45d32ec204a0cdf4e4be4293e6a0caae05edc3017660f622aeced17ca3b77378dab20d15701db4323296bb064963e9afbd4e4cdfdbab09acf0fb626f7ffeac350c903e495c4bab35143bc300p-770 0xd009c8affd28b04245d6b574e6c17cbeed4dba2d45d32ec204a0cdf4e4be4293e6a0caae05edc3017660f622aeced17ca3b77378dab20d15701db4323296bb064963e9afbd4e4cdfdbab09acf0fb626f7ffeac350c903e495c4bab35143bc301p-770 0
exp 0xf3400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xb2f1c9affae853a914b9c2803b9442c8673eb49fb4994b8e96555ffec08ad0e957f4d5620a67d20d82f0335ab395865776bf4165ec2762a0613a120f586daf9485bdc11e590d465d1e12ebdaafbcf0ef573336d532a818ddb0cb58231612635fp-762 0xb2f1c9affae853a914b9c2803b9442c8673eb49fb4994b8e96555ffec08ad0e957f4d5620a67d20d82f0335ab395865776bf4165ec2762a0613a120f586daf9485bdc11e590d465d1e12ebdaafbcf0ef573336d532a818ddb0cb582316126360p-762 0
exp -0xf5400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xb17bfa6bebbfcefb67f07c408351866d310c641c4dba042e355b9b5e22f935e5da1c1697e8bdb0befa6a9b5c1302d3edfd4a071abf34a6e279f841accb4bbdde0787fafe486033f01e3a77c62edb4afd7d0f197719ea70bee398b607c1d5c5fbp-773 0xb17bfa6bebbfcefb67f07c408351866d310c641c4dba042e355b9b5e22f935e5da1c1697e8bdb0befa6a9b5c1302d3edfd4a071abf34a6e279f841accb4bbdde0787fafe486033f01e3a77c62edb4afd7d0f197719ea70bee398b607c1d5c5fcp-773 0
exp2 -0xd3c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xceb3a0ca5dc6a55d282b844fb99d5cc8a28dc72d03636a008154102d450cb58ef6d7d34a459a50d380e5285eebbe683fc419e4f3f29f4ebf899b851f5487e25dfe05e131c8edd12bcd193c85864bfe8f31121172c2ba9877b4dcf9aa68270358p-771 0xceb3a0ca5dc6a55d282b844fb99d5cc8a28dc72d03636a008154102d450cb58ef6d7d34a459a50d380e5285eebbe683fc419e4f3f29f4ebf899b851f5487e25dfe05e131c8edd12bcd193c85864bfe8f31121172c2ba9877b4dcf9aa68270359p-771 0
exp2 -0xe3800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x955c5336887894d5179cdd2deb188864a06312028b9617107345ab054feea77d6e0594523a1059882b6f165cae7af4c359e450100e185fd6e0689aa361e31b696dcc42024185efb15b632285f262b488e1fafda4dcf81eeb1fa76576e6add96cp-769 0x955c5336887894d5179cdd2deb188864a06312028b9617107345ab054feea77d6e0594523a1059882b6f165cae7af4c359e450100e185fd6e0689aa361e31b696dcc42024185efb15b632285f262b488e1fafda4dcf81eeb1fa76576e6add96dp-769 0
exp2 0xd7000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xa43515ae09e6809e0d1db4831781e1eebae743abfbc073764c72418596cc5bd06969c46fb7bc3e9f9f3ea5b88380356b3e6dca0f201f6064abd121cc7f0cfbb542ccdc9aa2b4981a1b0d85e7d0d668b14642fd2752c86d5266468c584ab7c08fp-764 0xa43515ae09e6809e0d1db4831781e1eebae743abfbc073764c72418596cc5bd06969c46fb7bc3e9f9f3ea5b88380356b3e6dca0f201f6064abd121cc7f0cfbb542ccdc9aa2b4981a1b0d85e7d0d668b14642fd2752c86d5266468c584ab7c090p-764 0
exp2 -0xab000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xcad2265e4290774da41b4ad07e37be3eb0d959d11507559656b567cd9dd7811c9bad3327432bb2e1ecf543c89ad0853a3b2a1a75f0a02708134400e61416c39b4d26c979379e2b6bd07a281a950e4782299af42bdabf5b60845fd8d1f5a664dfp-769 0xcad2265e4290774da41b4ad07e37be3eb0d959d11507559656b567cd9dd7811c9bad3327432bb2e1ecf543c89ad0853a3b2a1a75f0a02708134400e61416c39b4d26c979379e2b6bd07a281a950e4782299af42bdabf5b60845fd8d1f5a664e0p-769 0
exp10 0xfe800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xc2acec01c9b1c7d1f4797d780f2d5d519e0a617b596c27f21a1c5157b7ee179963e817a317923c2bfd60510f2fed8834d44395b4fb0193fa65cc9c7b3159d9433925cfc973902e1f914d2988e492b436f8292b4c3c801794e7385af78ec441c2p-761 0xc2acec01c9b1c7d1f4797d780f2d5d519e0a617b596c27f21a1c5157b7ee179963e817a317923c2bfd60510f2fed8834d44395b4fb0193fa65cc9c7b3159d9433925cfc973902e1f914d2988e492b436f8292b4c3c801794e7385af78ec441c3p-761 0
exp10 0xc0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0xb3f300591a312cae82ddc7fb031878eed683367d8cb3bb7f81374c63b0f32c9bdcad758ed5b44cc1953a5498020269826e94b0df8499bfed1b13842a2a3987c1ab986f9cc50edaf0c9fdd8764190d49ee4bf466bd3175fa55d54add17517ab9ap-765 0xb3f300591a312cae82ddc7fb031878eed683367d8cb3bb7f81374c63b0f32c9bdcad758ed5b44cc1953a5498020269826e94b0df8499bfed1b13842a2a3987c1ab986f9cc50edaf0c9fdd8764190d49ee4bf466bd3175fa55d54add17517ab9bp-765 0
exp10 -0xac400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x855ff0de612c05f833c834fcf6bdf719d32d45da438df7fe54f8424d378c52d128d81f7bf88d32da54ce2c8be16b175ae034f001074cfa960c2f1e2a720eebb4675ed503eba58f3b4fe22681ee24712740418e4016f8182df9408e94d1b1282bp-776 0x855ff0de612c05f833c834fcf6bdf719d32d45da438df7fe54f8424d378c52d128d81f7bf88d32da54ce2c8be16b175ae034f001074cfa960c2f1e2a720eebb4675ed503eba58f3b4fe22681ee24712740418e4016f8182df9408e94d1b1282cp-776 0
